Open,High,Low,Close,Volume,Dividends,Stock Splits
234.90682911128965,236.4702265328918,232.16840691217965,235.9424591064453,25324000,0.0,0
236.0121556135058,236.30094318964058,232.46714604742905,232.8853759765625,22812500,0.0,0
231.18258352198725,232.59660333640392,226.30320396509254,226.60194396972656,34029500,0.0,0
225.7854040247291,231.5111958642346,223.3158341695288,225.7754364013672,44727800,0.0,0
228.55369422092375,232.2879062171515,225.50657966312951,230.62493896484375,41872800,0.0,0
230.39590248007485,232.38748226433668,226.1737630619504,226.4326629638672,35267400,0.0,0
231.89954107808842,234.3890156595878,230.694628695042,232.79574584960938,33080500,0.0,0
236.00220202671017,236.00220202671017,231.06307752654172,231.4414825439453,29746800,0.0,0
233.97079067319663,238.16305744765063,233.32351815166768,236.13165283203125,29907600,0.0,0
233.02478170626296,234.82717413204392,232.2480668242347,234.75746154785156,22653700,0.0,0
233.97078872632883,234.1998161362639,230.83404159705245,233.8214111328125,26034900,0.0,0
235.28522586218403,239.0493103007335,234.94666095797632,236.70921325683594,28092200,0.0,0
235.15577033379444,237.54567512440764,232.24806575391375,236.04202270507812,29562100,0.0,0
231.58089169739986,233.20403406150197,229.36028452296623,229.74864196777344,34833000,0.0,0
230.04738063841265,231.49127291487284,228.38441337440153,229.3802032470703,46430700,0.0,0
229.30054061457176,235.9026172066179,229.17108306752553,234.9964599609375,30127000,0.0,0
236.4901555023784,240.03516521540465,236.07192555590828,236.57977294921875,31638400,0.0,0
236.84862614117546,236.99798854353094,234.32927899112946,234.46868896484375,25620100,0.0,0
234.3093611281629,235.94245591887812,230.5950691409324,231.36181640625,34061900,0.0,0
230.5751384261441,235.7134176012229,230.5751384261441,235.484375,25479900,0.0,0
235.59392576123784,235.8030483231467,230.90376390156655,234.24961853027344,25227500,0.0,0
232.5468057869862,232.86546583693482,230.1270437101973,230.87388610839844,24792000,0.0,0
231.9294147242341,238.09335625016217,231.4115997542042,234.77737426757812,43623500,0.0,0
237.46601183343927,241.81760870892933,237.0477819108232,241.32968139648438,30338000,0.0,0
241.73794591307427,248.90764520810282,241.67820095137367,248.02139282226562,36910600,0.0,0
246.56751982824775,248.34997693411202,245.84059750854803,246.81646728515625,22931900,0.0,0
